IP,Date,Time,Accepted-cookies,Device type,Browser anguage,Browser name,OS Name,Country,Region,RegionName,City,Zipcode,Lat,Lon
49.36.83.154,2023-06-10,11:24:47 UTC,necessary,desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
157.100.87.73,2025-01-31,20:49:08 UTC,necessary,desktop,es,Chrome,Windows,Ecuador,P,Pichincha,Quito,,-0.2309,-78.5211
157.100.87.73,2025-01-31,20:50:19 UTC,necessary,desktop,es,Edge,Windows,Ecuador,P,Pichincha,Quito,,-0.2309,-78.5211
200.63.105.158,2025-02-10,00:21:30 UTC,necessary,mobile,en,Chrome,Android,Ecuador,P,Pichincha,Quito,,-0.2309,-78.5211
157.100.140.11,2025-02-10,22:15:30 UTC,necessary,desktop,es,Chrome,Windows,Ecuador,P,Pichincha,Quito,,-0.2309,-78.5211
102.177.161.25,2025-03-15,01:18:10 UTC,necessary,desktop,es,Edge,Windows,Ecuador,P,Pichincha,Quito,,-0.2309,-78.5211
200.85.80.246,2025-03-26,18:45:09 UTC,necessary,mobile,es,Samsung Internet,Android,Ecuador,P,Pichincha,Quito,,-0.2309,-78.5211
181.199.59.222,2025-03-27,21:20:27 UTC,necessary,desktop,es,Edge,Windows,Ecuador,P,Pichincha,Quito,,-0.2309,-78.5211
181.199.59.222,2025-03-27,21:22:19 UTC,necessary,desktop,es,Chrome,Windows,Ecuador,P,Pichincha,Quito,,-0.2309,-78.5211
36.71.139.3,2025-04-03,22:25:46 UTC,necessary,desktop,id,Chrome,Windows,Indonesia,SU,North Sumatra,Medan,20371,3.5847,98.6629
200.124.225.54,2025-04-04,22:04:52 UTC,necessary,desktop,es,Chrome,Windows,Ecuador,P,Pichincha,Quito,,-0.2309,-78.5211
